Tiempo,EMG_mV_raw,EMG_mV_filtrado
0.0,0.012775644202180378,-0.006764230825836852
0.001,0.009581733151635281,-0.006691879988744659
0.002,-0.02235737735381566,-0.006605455072236616
0.003,-0.04152084365708622,-0.006452242187233503
0.004,-0.02235737735381566,-0.006261387845767407
0.005,-0.006387822101090189,-0.0060795008297714675
0.006,0.028745199454905845,-0.005880925216347544
0.007,0.035133021555996034,-0.00561667770974453
0.008,0.038326932606541124,-0.005338333530877454
0.009,0.028745199454905845,-0.005023758770099983
0.01,0.009581733151635281,-0.0047148889061624545
0.011,-0.0031939110505450944,-0.004561334255024355
0.012,-0.006387822101090189,-0.004468545382070803
0.013,-0.009581733151635281,-0.004349799905334856
0.014,-0.01596955525272547,-0.004235200963183283
0.015,-0.03193911050545094,-0.004149526970137019
0.016,-0.04471475470763132,-0.004038924592744059
0.017,-0.04152084365708622,-0.003965316533476495
0.018,-0.025551288404360755,-0.0038419279617086977
0.019,-0.02235737735381566,-0.003437411340607121
0.02,-0.01596955525272547,-0.0029146156377932615
0.021,-0.03193911050545094,-0.0022818090983330775
0.022,-0.012775644202180378,-0.0015985890435644074
0.023,0.006387822101090189,-0.0010839768257839024
0.024,0.009581733151635281,-0.0005844671191777321
0.025,0.0031939110505450944,-0.00010890089430725262
0.026,0.006387822101090189,0.00039543276985781273
0.027,0.012775644202180378,0.001212625239063563
0.028,-0.01596955525272547,0.0021583415102913745
0.029,-0.009581733151635281,0.0029970835964306403
0.03,-0.006387822101090189,0.003828486900672708
0.031,-0.006387822101090189,0.004816111735453648
0.032,-0.06387822101090188,0.005736225728335801
0.033,-0.047908665758176414,0.006735329987458459
0.034,-0.025551288404360755,0.007562865909605574
0.035,-0.028745199454905845,0.007480862521659566
0.036,-0.025551288404360755,0.006977803726556682
0.037,-0.025551288404360755,0.0062261412683406485
0.038,-0.019163466303270562,0.005282445994867478
0.039,-0.0031939110505450944,0.004510066359741751
0.04,0.009581733151635281,0.003706669670485167
0.041,0.009581733151635281,0.002823237015370278
0.042,0.0031939110505450944,0.0018639105338492832
0.043,0.0,0.0006285367758411497
0.044,-0.019163466303270562,-0.0007444871496367671
0.045,-0.019163466303270562,-0.001994847319176705
0.046,-0.012775644202180378,-0.0032478569569836494
0.047,-0.038326932606541124,-0.0047660312575798685
0.048,-0.05110257680872151,-0.006232390417025547
0.049,-0.05429648785926659,-0.00780366303119884
0.05,-0.05749039890981169,-0.009174747775690386
0.051,-0.05110257680872151,-0.009411438323882039
0.052,-0.05429648785926659,-0.009118307127909087
0.053,-0.05429648785926659,-0.008567052561303317
0.054,-0.05749039890981169,-0.007777739917713592
0.055,-0.04471475470763132,-0.007081868339853426
0.056,-0.025551288404360755,-0.006330583070665909
0.057,-0.03193911050545094,-0.0054333405274549045
0.058,-0.025551288404360755,-0.00445736540068584
0.059,-0.02235737735381566,-0.0034117517195642413
0.06,-0.028745199454905845,-0.0023038151040114863
0.061,-0.038326932606541124,-0.0012709866492547329
0.062,-0.03193911050545094,-0.00023156546203555606
0.063,-0.025551288404360755,0.0010338146848069057
0.064,-0.009581733151635281,0.002287970739409189
0.065,-0.009581733151635281,0.003615101166195949
0.066,-0.006387822101090189,0.004819803296271455
0.067,-0.025551288404360755,0.005280856884079233
0.068,-0.01596955525272547,0.0053932384541750256
0.069,0.0,0.005360328740570155
0.07,-0.019163466303270562,0.005172246724700172
0.071,-0.012775644202180378,0.0049919816193916096
0.072,0.009581733151635281,0.004767253503465341
0.073,0.009581733151635281,0.0044256194058039456
0.074,0.006387822101090189,0.0040376689405291835
0.075,0.0,0.003723166293957049
0.076,0.006387822101090189,0.003413900496735037
0.077,-0.0031939110505450944,0.003113508538149064
0.078,-0.006387822101090189,0.0028035307889172382
0.079,0.0,0.0023948585442387493
0.08,-0.006387822101090189,0.001966300267075556
0.081,-0.025551288404360755,0.001510759733884086
0.082,-0.03193911050545094,0.0010721473436127033
0.083,-0.03193911050545094,0.0008045141388147802
0.084,-0.03193911050545094,0.0006131423726447743
0.085,-0.04152084365708622,0.0004411711487895807
0.086,-0.009581733151635281,0.0002990119138968899
0.087,0.0,0.0001653676581071492
0.088,-0.0031939110505450944,3.8876151304344974e-05
0.089,0.006387822101090189,-5.847753235022111e-05
0.09,0.006387822101090189,-0.00015140763810581506
0.091,0.009581733151635281,-0.0003045494540680725
0.092,0.009581733151635281,-0.0004778509783389542
0.093,0.006387822101090189,-0.0006424062485231573
0.094,-0.009581733151635281,-0.0008057322928902219
0.095,-0.012775644202180378,-0.0009669780612586005
0.096,-0.012775644202180378,-0.0011169455619808302
0.097,-0.02235737735381566,-0.0012684554589599151
0.098,-0.04152084365708622,-0.0014036862166124423
0.099,-0.05110257680872151,-0.0014721586643296827
0.1,-0.035133021555996034,-0.0015059743290578229
0.101,-0.04152084365708622,-0.0015237738740305445
0.102,-0.025551288404360755,-0.0015233399144100697
0.103,-0.012775644202180378,-0.0015140964201215965
0.104,-0.019163466303270562,-0.0014955496833179262
0.105,-0.028745199454905845,-0.0014610171364721133
0.106,-0.019163466303270562,-0.0014186691061165903
0.107,-0.006387822101090189,-0.0013872891973339973
0.108,0.009581733151635281,-0.0013559198112606358
0.109,0.02235737735381566,-0.001319219562727823
0.11,0.01596955525272547,-0.001278120281462508
0.111,-0.012775644202180378,-0.0012282811859135058
0.112,-0.012775644202180378,-0.0011718827031512123
0.113,-0.006387822101090189,-0.0011124600049192885
0.114,-0.03193911050545094,-0.0010478406683456338
0.115,-0.038326932606541124,-0.0009740863220296862
0.116,-0.03193911050545094,-0.0008950913359186048
0.117,-0.04152084365708622,-0.0008087604053630164
0.118,-0.047908665758176414,-0.0007188760666403097
0.119,-0.03193911050545094,-0.0006358184315798124
0.12,-0.019163466303270562,-0.000551990218119215
0.121,-0.01596955525272547,-0.00046893167809610716
0.122,-0.006387822101090189,-0.00038324435052750175
0.123,0.0031939110505450944,-0.0002779503401066351
0.124,0.009581733151635281,-0.00016422155756412124
0.125,0.0031939110505450944,-5.645983978976608e-05
0.126,-0.0031939110505450944,5.12637701206291e-05
0.127,0.009581733151635281,0.00016919832085438417
0.128,0.0031939110505450944,0.00028347987075633607
0.129,0.006387822101090189,0.00040166675878801643
0.13,0.0,0.0005094942826884902
0.131,-0.006387822101090189,0.0005634448765972458
0.132,-0.038326932606541124,0.0005912235998919571
0.133,-0.025551288404360755,0.0006073222533758769
0.134,-0.028745199454905845,0.0006109255836441717
0.135,-0.025551288404360755,0.0006130894954151009
0.136,-0.012775644202180378,0.0006105545930777724
0.137,-0.01596955525272547,0.0005981812722180178
0.138,-0.0031939110505450944,0.0005811895976408978
0.139,-0.0031939110505450944,0.0005689225723185264
0.14,0.0,0.0005560641513774116
0.141,0.009581733151635281,0.000542324818272591
0.142,0.006387822101090189,0.0005266717887424209
0.143,0.006387822101090189,0.0005031513583297804
0.144,0.009581733151635281,0.0004768985404097545
0.145,0.0,0.00044785998883690493
0.146,-0.028745199454905845,0.0004185541154614182
0.147,-0.038326932606541124,0.00039815915819875697
0.148,-0.006387822101090189,0.0003812223844533575
0.149,-0.01596955525272547,0.00036397928090316266
0.15,-0.05110257680872151,0.0003475196442950363
0.151,-0.028745199454905845,0.0003316935829572453
0.152,-0.025551288404360755,0.0003155798981690245
0.153,-0.01596955525272547,0.0003007497513314522
0.154,-0.02235737735381566,0.0002852860271104908
0.155,-0.02235737735381566,0.0002632539256261027
0.156,-0.006387822101090189,0.00023843904232664516
0.157,0.006387822101090189,0.00021423706273780875
0.158,0.0031939110505450944,0.0001895673461310297
0.159,0.0,0.000163458590844619
0.16,-0.012775644202180378,0.00013796770519498676
0.161,-0.02235737735381566,0.00011145161371220046
0.162,-0.012775644202180378,8.661701204962488e-05
0.163,-0.012775644202180378,7.134593198941077e-05
0.164,-0.025551288404360755,6.0623273729780066e-05
0.165,-0.035133021555996034,5.1924555412243906e-05
0.166,-0.035133021555996034,4.533321612710426e-05
0.167,-0.05429648785926659,3.8671771272155107e-05
0.168,-0.05429648785926659,3.2706317074526935e-05
0.169,-0.03193911050545094,2.833022913088335e-05
0.17,-0.019163466303270562,2.4714609020261438e-05
0.171,-0.009581733151635281,2.059209514965345e-05
0.172,-0.009581733151635281,1.6672315199025865e-05
0.173,-0.0031939110505450944,1.2753759577441404e-05
0.174,0.0031939110505450944,9.131814351042476e-06
0.175,0.0,7.002861923104606e-06
0.176,-0.0031939110505450944,5.256873886555852e-06
0.177,-0.0031939110505450944,4.097912565580307e-06
0.178,-0.009581733151635281,2.808318017185171e-06
0.179,-0.012775644202180378,-1.009765049174355e-06
0.18,-0.009581733151635281,-5.842041657249108e-06
0.181,-0.02235737735381566,-1.092860679410231e-05
0.182,-0.038326932606541124,-1.6302055832819895e-05
0.183,-0.035133021555996034,-2.1312247214399822e-05
0.184,-0.035133021555996034,-2.6196273816195843e-05
0.185,-0.025551288404360755,-3.122518326913005e-05
0.186,-0.01596955525272547,-3.6159681847491775e-05
0.187,0.0,-4.062719691703133e-05
0.188,0.02235737735381566,-4.4840945067106195e-05
0.189,0.019163466303270562,-4.877274542861694e-05
0.19,0.0,-5.2495048987731614e-05
0.191,0.01596955525272547,-5.6309424390935716e-05
0.192,0.025551288404360755,-5.994157668372782e-05
0.193,0.012775644202180378,-6.346513317228359e-05
